name,url,acronym,description
Administration for Community Living,http://www.acl.gov/data.json,,"The Administration for Community Living supports the needs of the aging and disability populations, and improves access health care and long-term services."
"Alcohol, Tobacco, Firearms and Explosives Bureau (ATF)",http://www.atf.gov/data.json,ATF,"The Bureau of Alcohol, Tobacco, Firearms and Explosives enforces federal criminal laws regulating the firearms and explosives industries."
Bonneville Power Administration,https://www.bpa.gov/data.json,,The Bonneville Power Administration creates and delivers a reliable power supply to the Pacific Northwest.
Bureau of Consumer Financial Protection,http://www.consumerfinance.gov/data.json,,"The Consumer Financial Protection Bureau helps consumers by providing educational materials and accepting complaints. It supervises banks, lenders, and large non-bank entities, such as credit reporting agencies and debt collection companies. The Bureau also works to make credit card, mortgage, and other loan disclosures clearer, so consumers can understand their rights and responsibilities."
Bureau of Engraving and Printing (BEP),http://www.moneyfactory.gov/data.json,BEP,"The Bureau of Engraving and Printing produces United States currency notes, operates as the nation's central bank, and serves to ensure that adequate amounts of currency and coin are in circulation."
Bureau of the Census,http://www.census.gov/data.json,,The U.S. Census Bureau provides data about the nation's people and economy.
Bureau of the Fiscal Service,http://www.fiscal.treasury.gov/data.json,,"The Bureau of the Fiscal Service manages all federal payments and collections, and provides government-wide accounting and reporting services. You can contact them to buy bonds or to check on the maturity of bonds you own."
Capitol Visitor Center,http://www.visitthecapitol.gov/data.json,,"Take a tour of the historic Capitol, where you can see the Crypt of the Capitol, the Rotunda, and National Statuary Hall. "
Centers for Medicare and Medicaid Services (CMS),http://www.cms.gov/data.json,CMS,"The Centers for Medicare and Medicaid Services (CMS) provides health coverage to more than 100 million people through Medicare, Medicaid, the Children‰Ûªs Health Insurance Program, and the Health Insurance Marketplace. The CMS seeks to strengthen and modernize the Nation‰Ûªs health care system, to provide access to high quality care and improved health at lower costs."
Chief Acquisition Officers Council,http://www.cao.gov/data.json,,The Chief Acquisition Officers Council monitors and improves the federal acquisition system.
Chief Financial Officers Council,http://www.cfo.gov/data.json,,The Chief Financial Officers Council works to improve financial management in the U.S. government.
Citizenship and Immigration Services (USCIS),http://www.uscis.gov/data.json,USCIS,The U.S. Citizenship and Immigration Services is responsible for processing immigration and naturalization applications and establishing policies regarding immigration services.
Commission on Civil Rights,http://www.usccr.gov/data.json,,"The U.S. Commission on Civil Rights is an independent, bipartisan agency charged with monitoring federal civil rights enforcement."
Commission on Security and Cooperation in Europe (Helsinki Commission),http://www.csce.gov/data.json,,The Commission on Security and Cooperation in Europe monitors and encourages compliance with the Helsinki Final Act and other Organization for Security and Co-operation in Europe commitments.
Commodity Futures Trading Commission (CFTC),http://www.cftc.gov/data.json,CFTC,"The Commodity Futures Trading Commission protects the public from fraud, manipulation, and abusive practices related to the sale of commodity and financial futures and options, and to fosters open, competitive, and financially sound futures and option markets. They investigate and prosecute commodities fraud, including foreign currency schemes, energy manipulation and hedge fund fraud, and works with other federal and state agencies to bring criminal and other actions. "
"Compliance, Office of",http://www.compliance.gov/data.json,,"The Office of Compliance advances workplace rights, safety, health, and accessibility in the Legislative Branch."
Council of the Inspectors General on Integrity and Efficiency,http://www.ignet.gov/data.json,,"The Council of the Inspectors General on Integrity and Efficiency address integrity, economy, and effectiveness issues in the federal government."
Department of Education (ED),http://www.ed.gov/data.json,ED,"The Department of Education fosters educational excellence, and to ensures equal access to educational opportunity for all."
Department of Homeland Security (DHS),http://www.dhs.gov/data.json,DHS,"The Department of Homeland Security works to improve the security of the United States. The Department's work includes customs, border, and immigration enforcement, emergency response to natural and manmade disasters, antiterrorism work, and cybersecurity."
Department of Housing and Urban Development (HUD),http://www.hud.gov/data.json,HUD,The Department of Housing and Urban Development administers programs that provide housing and community development assistance. The Department also works to ensure fair and equal housing opportunity for all.
Department of State (DOS),http://www.state.gov/data.json,DOS,"The Department of State advises the President and leads the nation in foreign policy issues. The State Department negotiates treaties and agreements with foreign entities, and represents the United States at the United Nations."
"Director of National Intelligence, Office of",http://www.dni.gov/data.json,,The Office of the Director of National Intelligence integrates the intelligence gathering and analysis functions performed across the intelligence community to provide intelligence to decision makers.
Energy Star Program,http://www.energystar.gov/data.json,,The ENERGY STAR label is awarded to products for the home and office that are highly energy-efficient. The program encourages the use of energy efficient products that both protect the environment and save consumers money.
Farm Service Agency,http://www.fsa.usda.gov/data.json,,"The Farm Service Agency supports farms and farming communities with programs including disaster relief, conservation programs, commodity price guarantee programs, and loan programs."
Federal Housing Finance Agency,http://www.fhfa.gov/data.json,,"The Federal Housing Finance Agency provides supervision, regulation, and housing mission oversight of Fannie Mae, Freddie Mac, and the Federal Home Loan Banks."
Federal Labor Relations Authority (FLRA),http://www.flra.gov/data.json,FLRA,The Federal Labor Relations Authority is a quasi-judicial body that manages relations between federal agencies and employees.
"Food and Agriculture, National Institute of",http://www.nifa.usda.gov/data.json,,The National Institute of Food and Agriculture is a research and grant-making organization focused on agricultural issues. 
Food and Nutrition Service,http://www.fns.usda.gov/data.json,,"The Food and Nutrition Service provides children and low-income people access to food, a healthful diet, and nutrition education."
Ginnie Mae,http://www.ginniemae.gov/data.json,,"Government National Mortgage Association (Ginnie Mae) is a self-financing, wholly owned U.S. Government corporation within the Department of Housing and Urban Development. It is the primary financing mechanism for all government-insured or government-guaranteed mortgage loans."
Interagency Council on Homelessness,http://www.ich.gov/data.json,,The Interagency Council on Homelessness works in partnership with every level of government and the private sector to reduce and end homelessness in the nation.
Internal Revenue Service (IRS),http://www.irs.gov/data.json,IRS,The Internal Revenue Service (IRS) administers and enforces U.S. federal tax laws.
